,target,sepal width,petal width
0,0,3.5,0.2
1,0,3.0,0.2
2,0,3.2,0.2
3,0,3.1,0.2
4,0,3.6,0.2
5,0,3.9,0.4
6,0,3.4,0.3
7,0,3.4,0.2
8,0,2.9,0.2
9,0,3.1,0.1
12,0,3.0,0.1
13,0,3.0,0.1
17,0,3.5,0.3
18,0,3.8,0.3
19,0,3.8,0.3
20,0,3.4,0.2
21,0,3.7,0.4
23,0,3.3,0.5
25,0,3.0,0.2
26,0,3.4,0.4
27,0,3.5,0.2
28,0,3.4,0.2
29,0,3.2,0.2
30,0,3.1,0.2
32,0,4.1,0.1
35,0,3.2,0.2
36,0,3.5,0.2
37,0,3.1,0.1
38,0,3.0,0.2
39,0,3.4,0.2
40,0,3.5,0.3
41,0,2.3,0.3
42,0,3.2,0.2
43,0,3.5,0.6
44,0,3.8,0.4
45,0,3.0,0.3
47,0,3.2,0.2
48,0,3.7,0.2
49,0,3.3,0.2
51,1,3.2,1.5
52,1,3.1,1.5
53,1,2.3,1.3
56,1,3.3,1.6
57,1,2.4,1.0
58,1,2.9,1.3
59,1,2.7,1.4
60,1,2.0,1.0
62,1,2.2,1.0
63,1,2.9,1.4
64,1,2.9,1.3
65,1,3.1,1.4
67,1,2.7,1.0
70,1,3.2,1.8
71,1,2.8,1.3
72,1,2.5,1.5
73,1,2.8,1.2
74,1,2.9,1.3
76,1,2.8,1.4
77,1,3.0,1.7
78,1,2.9,1.5
79,1,2.6,1.0
80,1,2.4,1.1
81,1,2.4,1.0
83,1,2.7,1.6
84,1,3.0,1.5
86,1,3.1,1.5
87,1,2.3,1.3
88,1,3.0,1.3
89,1,2.5,1.3
90,1,2.6,1.2
91,1,3.0,1.4
92,1,2.6,1.2
94,1,2.7,1.3
95,1,3.0,1.2
97,1,2.9,1.3
98,1,2.5,1.1
99,1,2.8,1.3
101,2,2.7,1.9
102,2,3.0,2.1
103,2,2.9,1.8
104,2,3.0,2.2
105,2,3.0,2.1
106,2,2.5,1.7
107,2,2.9,1.8
110,2,3.2,2.0
111,2,2.7,1.9
112,2,3.0,2.1
113,2,2.5,2.0
115,2,3.2,2.3
116,2,3.0,1.8
120,2,3.2,2.3
122,2,2.8,2.0
123,2,2.7,1.8
124,2,3.3,2.1
125,2,3.2,1.8
126,2,2.8,1.8
127,2,3.0,1.8
131,2,3.8,2.0
132,2,2.8,2.2
133,2,2.8,1.5
134,2,2.6,1.4
135,2,3.0,2.3
137,2,3.1,1.8
138,2,3.0,1.8
143,2,3.2,2.3
145,2,3.0,2.3
147,2,3.0,2.0
148,2,3.4,2.3
149,2,3.0,1.8
